question,rewritten_question,ground_truth,generated_answer,context,distance,confidence,retrieved_index
How did early naturalists distinguish between leopards and panthers?,How did early naturalists distinguish between leopards and panthers?,by the length of their tails,length of the tail,"A panther can be any of several species of large felid; in North America, the term refers to cougars, in South America, jaguars, and elsewhere, leopards. Early naturalists distinguished between leopards and panthers not by colour (a common misconception), but by the length of the tail panthers having longer tails than leopards.",0.63319045,high,2448
What are dark leopards known as colloquially?,What are dark leopards known as colloquially?,Black Panthers,Black Panthers,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar. Leopards that are melanistic, either all-black or very dark in coloration, are known colloquially as Black Panthers.",0.64398116,high,2444
What shape are a leopard's black roS08_settes in East Africa?,What shape are a leopard's black roS08_settes in East Africa?,circular,white,Female leopard in the Sabi Sands area of South Africa.  Note the white spot on the tail used for communicating with cubs while hunting or in long grass,0.65267175,high,2471
Is the leopard an Old World mammal?,Is the leopard the oldest mammal in the world?,yes,no,Indian Leopard,0.75530034,high,2466
Is the leopard of the Felidae family?,Is the leopard of the Felidae family?,yes,yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar. Leopards that are melanistic, either all-black or very dark in coloration, are known colloquially as Black Panthers.",0.66210735,high,2444
Is the leopard one of the four 'big cats'?,Is a leopard one of the four 'big cats'?,yes,yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar. Leopards that are melanistic, either all-black or very dark in coloration, are known colloquially as Black Panthers.",0.54850614,high,2444
Where is the leopard distributed?,Where is the leopard distributed?,southern Eurasia and Africa,India,Indian Leopard,0.59845424,high,2466
How long is a leopard's tail?,How long is a leopard's tail?,60 to 110cm,60 to 110cm,"The leopard is an agile and graceful predator. Although smaller than the other members of Panthera, the leopard is still able to take large prey given a massive skull that well utilizes powerful jaw muscles.  Its body is comparatively long for a cat and its legs are short.  Head and body length is between 90 and 190 cm, the tail reaches 60 to 110cm. Shoulder height is 45 to 80 cm. Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females. Ronald M. Nowak: Walker's Mammals of the World. Johns Hopkins University Press, 1999 ISBN 0-8018-5789-9",0.6100788,high,2451
How much does a leopard weigh?,How much does a leopard weigh?,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females. ,37 to 90 kg,"The leopard is an agile and graceful predator. Although smaller than the other members of Panthera, the leopard is still able to take large prey given a massive skull that well utilizes powerful jaw muscles.  Its body is comparatively long for a cat and its legs are short.  Head and body length is between 90 and 190 cm, the tail reaches 60 to 110cm. Shoulder height is 45 to 80 cm. Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females. Ronald M. Nowak: Walker's Mammals of the World. Johns Hopkins University Press, 1999 ISBN 0-8018-5789-9",0.6839324,high,2451
Does a male leopard weigh more than a female leopard?,Does a male leopard weigh more than a female leopard?,yes,no,"However because they can subsist on small prey and are less dependent on large prey, leopards are less likely to turn to man-eating than either lions or tigers.",0.76985395,high,2495
What is the difference between leopards and cheetahs?,What is the difference between leopards and cheetahs?,The leopard has roS08_settes rather than cheetah's simple spots and the leopard is larger and less lanky than the cheetah.,leopard has rosettes rather than cheetah's simple spots,"One of many spotted cats, a leopard may be mistaken for a cheetah or a jaguar. The leopard has rosettes rather than cheetah's simple spots, but they lack internal spots, unlike the jaguar. The leopard is larger and less lanky than the cheetah but smaller than the jaguar. The leopard's black, irregular rosettes serve as camouflage. They are circular in East Africa but tend to be square in southern Africa.  .",0.66673625,high,2452
How does the distribution size of the leopard compare to the distribution of other wild cats?,How does the distribution size of the leopard compare to the distribution of other wild cats?,"As of 1996, the leopard had the largest distribution of any wild cat, although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa.",largest distribution of any wild cat,"As of 1996, the leopard had the largest distribution of any wild cat,  although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa. The IUCN notes that within subsaharan Africa the species is ""still numerous and even thriving in marginal habitats"" where other large cats have disappeared, but that populations in North Africa may be extinct. In Asia, data on distribution are mixed: populations in Southwest and Central Asia are small and fragmented; in the northeast portion of the range, they are critically endangered; and in Indian, Southeast Asia, and China, the cat is still relatively abundant.  Leopards also like to live in grasslands, woodlands and riverside forests.",0.6980114,high,2456
